year,home,away,homeGoals,awayGoals,totalGoals
1930.0,France,Mexico,4,1,5
1930.0,Argentina,France,1,0,1
1930.0,Chile,Mexico,3,0,3
1930.0,Chile,France,1,0,1
1930.0,Argentina,Mexico,6,3,9
1930.0,Argentina,Chile,3,1,4
1930.0,Yugoslavia,Brazil,2,1,3
1930.0,Yugoslavia,Bolivia,4,0,4
1930.0,Brazil,Bolivia,4,0,4
1930.0,Romania,Peru,3,1,4
1930.0,Uruguay,Peru,1,0,1
1930.0,Uruguay,Romania,4,0,4
1930.0,United States,Belgium,3,0,3
1930.0,United States,Paraguay,3,0,3
1930.0,Paraguay,Belgium,1,0,1
1930.0,Argentina,United States,6,1,7
1930.0,Uruguay,Yugoslavia,6,1,7
1930.0,Uruguay,Argentina,4,2,6
1934.0,Spain,Brazil,3,1,4
1934.0,Hungary,Egypt,4,2,6
1934.0,Switzerland,Netherlands,3,2,5
1934.0,Italy,United States,7,1,8
1934.0,Czechoslovakia,Romania,2,1,3
1934.0,Sweden,Argentina,3,2,5
1934.0,Austria,France,3,2,5
1934.0,Germany,Belgium,5,2,7
1934.0,Austria,Hungary,2,1,3
1934.0,Italy,Spain,1,1,2
1934.0,Germany,Sweden,2,1,3
1934.0,Czechoslovakia,Switzerland,3,2,5
1934.0,Italy,Spain,1,0,1
1934.0,Italy,Austria,1,0,1
1934.0,Czechoslovakia,Germany,3,1,4
1934.0,Germany,Austria,3,2,5
1934.0,Italy,Czechoslovakia,2,1,3
1938.0,Switzerland,Germany,1,1,2
1938.0,Hungary,Dutch East Indies,6,0,6
1938.0,Cuba,Romania,3,3,6
1938.0,France,Belgium,3,1,4
1938.0,Italy,Norway,2,1,3
1938.0,Brazil,Poland,6,5,11
1938.0,Czechoslovakia,Netherlands,3,0,3
1938.0,Switzerland,Germany,4,2,6
1938.0,Cuba,Romania,2,1,3
1938.0,Hungary,Switzerland,2,0,2
1938.0,Sweden,Cuba,8,0,8
1938.0,Italy,France,3,1,4
1938.0,Brazil,Czechoslovakia,1,1,2
1938.0,Brazil,Czechoslovakia,2,1,3
1938.0,Hungary,Sweden,5,1,6
1938.0,Italy,Brazil,2,1,3
1938.0,Brazil,Sweden,4,2,6
1938.0,Italy,Hungary,4,2,6
1950.0,Brazil,Mexico,4,0,4
1950.0,Yugoslavia,Switzerland,3,0,3
1950.0,Brazil,Switzerland,2,2,4
1950.0,Yugoslavia,Mexico,4,1,5
1950.0,Brazil,Yugoslavia,2,0,2
1950.0,Switzerland,Mexico,2,1,3
1950.0,England,Chile,2,0,2
1950.0,Spain,United States,3,1,4
1950.0,Spain,Chile,2,0,2
1950.0,United States,England,1,0,1
1950.0,Spain,England,1,0,1
1950.0,Chile,United States,5,2,7
1950.0,Sweden,Italy,3,2,5
1950.0,Sweden,Paraguay,2,2,4
1950.0,Italy,Paraguay,2,0,2
1950.0,Uruguay,Bolivia,8,0,8
1950.0,Uruguay,Spain,2,2,4
1950.0,Brazil,Sweden,7,1,8
1950.0,Brazil,Spain,6,1,7
1950.0,Uruguay,Sweden,3,2,5
1950.0,Sweden,Spain,3,1,4
1950.0,Uruguay,Brazil,2,1,3
1954.0,Brazil,Mexico,5,0,5
1954.0,Yugoslavia,France,1,0,1
1954.0,Brazil,Yugoslavia,1,1,2
1954.0,France,Mexico,3,2,5
1954.0,West Germany,Turkey,4,1,5
1954.0,Hungary,South Korea,9,0,9
1954.0,Hungary,West Germany,8,3,11
1954.0,Turkey,South Korea,7,0,7
1954.0,West Germany,Turkey,7,2,9
1954.0,Uruguay,Czechoslovakia,2,0,2
1954.0,Austria,Scotland,1,0,1
1954.0,Uruguay,Scotland,7,0,7
1954.0,Austria,Czechoslovakia,5,0,5
1954.0,Switzerland,Italy,2,1,3
1954.0,England,Belgium,4,4,8
1954.0,Italy,Belgium,4,1,5
1954.0,England,Switzerland,2,0,2
1954.0,Switzerland,Italy,4,1,5
1954.0,Austria,Switzerland,7,5,12
1954.0,Uruguay,England,4,2,6
1954.0,West Germany,Yugoslavia,2,0,2
1954.0,Hungary,Brazil,4,2,6
1954.0,West Germany,Austria,6,1,7
1954.0,Hungary,Uruguay,4,2,6
1954.0,Austria,Uruguay,3,1,4
1954.0,West Germany,Hungary,3,2,5
1958.0,Argentina,West Germany,1,3,4
1958.0,Northern Ireland,Czechoslovakia,1,0,1
1958.0,West Germany,Czechoslovakia,2,2,4
1958.0,Argentina,Northern Ireland,3,1,4
1958.0,West Germany,Northern Ireland,2,2,4
1958.0,Czechoslovakia,Argentina,6,1,7
1958.0,Northern Ireland,Czechoslovakia,2,1,3
1958.0,France,Paraguay,7,3,10
1958.0,Yugoslavia,Scotland,1,1,2
1958.0,Yugoslavia,France,3,2,5
1958.0,Paraguay,Scotland,3,2,5
1958.0,France,Scotland,2,1,3
1958.0,Paraguay,Yugoslavia,3,3,6
1958.0,Sweden,Mexico,3,0,3
1958.0,Hungary,Wales,1,1,2
1958.0,Mexico,Wales,1,1,2
1958.0,Sweden,Hungary,2,1,3
1958.0,Sweden,Wales,0,0,0
1958.0,Hungary,Mexico,4,0,4
1958.0,Wales,Hungary,2,1,3
1958.0,Brazil,Austria,3,0,3
1958.0,Soviet Union,England,2,2,4
1958.0,Brazil,England,0,0,0
1958.0,Soviet Union,Austria,2,0,2
1958.0,England,Austria,2,2,4
1958.0,Brazil,Soviet Union,2,0,2
1958.0,Soviet Union,England,1,0,1
1958.0,Brazil,Wales,1,0,1
1958.0,France,Northern Ireland,4,0,4
1958.0,Sweden,Soviet Union,2,0,2
1958.0,West Germany,Yugoslavia,1,0,1
1958.0,Brazil,France,5,2,7
1958.0,Sweden,West Germany,3,1,4
1958.0,France,West Germany,6,3,9
1958.0,Brazil,Sweden,5,2,7
1962.0,Uruguay,Colombia,2,1,3
1962.0,Soviet Union,Yugoslavia,2,0,2
1962.0,Yugoslavia,Uruguay,3,1,4
1962.0,Soviet Union,Colombia,4,4,8
1962.0,Soviet Union,Uruguay,2,1,3
1962.0,Yugoslavia,Colombia,5,0,5
1962.0,Chile,Switzerland,3,1,4
1962.0,West Germany,Italy,0,0,0
